latitude,longitude,altitude,geometry,stop_id,stop_name,capacity,category
25.08416,121.59665,,Point,U108134,成功公園,11,高
25.0735,121.61258,,Point,U108135,康寧路三段189巷93弄口,14,高
25.08227,121.5909,,Point,U108136,中國醫藥大學附設醫院臺北分院,13,高
25.06643,121.61732,,Point,U108137,康樂抽水站,15,高
25.08464,121.57945,,Point,U108138,環山路三段16巷口,13,中
25.0786,121.58302,,Point,U108139,文德一號綠地,15,高
25.06265,121.57427,,Point,U108140,臺北花市,20,高
25.06126,121.58201,,Point,U108141,行善社會住宅,23,高
25.0721,121.60991,,Point,U108142,康寧路三段99巷17弄口,15,高
25.08019,121.56316,,Point,U108143,堤頂大道二段407巷口,15,中
25.08156,121.56227,,Point,U108144,海德堡科技大樓,12,中
25.08067,121.5656,,Point,U108145,致伸科技大樓,17,中
25.08202,121.56861,,Point,U108146,內湖路一段288巷口,20,中
25.06749,121.57784,,Point,U108147,大都會客運內湖站,15,中
25.06888,121.57711,,Point,U108148,瑞湖公園,15,中
25.07345,121.57848,,Point,U108150,台灣世曦大樓,16,中
25.07821,121.57103,,Point,U108151,遠雄時代總部,14,中
25.07733,121.5727,,Point,U108152,瑞光路358巷口,14,中
25.07897,121.5737,,Point,U108153,大港墘公園(洲子街),18,中
25.08049,121.57361,,Point,U108154,世紀經貿,16,中
25.06805,121.58488,,Point,U108156,民權東路六段56巷口,15,高
25.06605,121.58206,,Point,U108157,新湖三行忠路72巷口,15,中
25.06407,121.57787,,Point,U108158,新湖三新湖二146巷口,15,中
25.06151,121.57811,,Point,U108159,舊宗新湖二路口,17,高
25.08152,121.56489,,Point,U108160,新光基湖大樓,19,中
25.08203,121.56298,,Point,U108161,內湖路一段120巷15弄,19,高
25.08318,121.56154,,Point,U108162,北勢湖環保公園(堤頂大道側),14,中
25.07941,121.57277,,Point,U108164,達爾文大樓,15,中
25.07074,121.61803,,Point,U108165,東湖四號公園,15,高
